"","year","month","precipitation"
"1",1950,1,47
"2",1950,2,20
"3",1950,3,31
"4",1950,4,298
"5",1950,5,280
"6",1950,6,332
"7",1950,7,56
"8",1950,8,27
"9",1950,9,158
"10",1950,10,12
"11",1950,11,100
"12",1950,12,32
"13",1951,1,83
"14",1951,2,78
"15",1951,3,147
"16",1951,4,201
"17",1951,5,178
"18",1951,6,227
"19",1951,7,83
"20",1951,8,447
"21",1951,9,97
"22",1951,10,216
"23",1951,11,117
"24",1951,12,69
"25",1952,1,1
"26",1952,2,68
"27",1952,3,212
"28",1952,4,275
"29",1952,5,306
"30",1952,6,12
"31",1952,7,106
"32",1952,8,141
"33",1952,9,54
"34",1952,10,18
"35",1952,11,131
"36",1952,12,19
"37",1953,1,39
"38",1953,2,139
"39",1953,3,115
"40",1953,4,129
"41",1953,5,266
"42",1953,6,146
"43",1953,7,198
"44",1953,8,125
"45",1953,9,20
"46",1953,10,44
"47",1953,11,100
"48",1953,12,102
"49",1954,1,23
"50",1954,2,4
"51",1954,3,49
"52",1954,4,88
"53",1954,5,60
"54",1954,6,66
"55",1954,7,199
"56",1954,8,51
"57",1954,9,77
"58",1954,10,6
"59",1954,11,57
"60",1954,12,71
"61",1955,1,23
"62",1955,2,85
"63",1955,3,114
"64",1955,4,48
"65",1955,5,247
"66",1955,6,139
"67",1955,7,299
"68",1955,8,241
"69",1955,9,272
"70",1955,10,66
"71",1955,11,56
"72",1955,12,15
"73",1956,1,39
"74",1956,2,77
"75",1956,3,89
"76",1956,4,72
"77",1956,5,236
"78",1956,6,44
"79",1956,7,417
"80",1956,8,183
"81",1956,9,1
"82",1956,10,27
"83",1956,11,125
"84",1956,12,62
"85",1957,1,32
"86",1957,2,73
"87",1957,3,109
"88",1957,4,413
"89",1957,5,731
"90",1957,6,109
"91",1957,7,129
"92",1957,8,203
"93",1957,9,42
"94",1957,10,262
"95",1957,11,49
"96",1957,12,6
"97",1958,1,73
"98",1958,2,100
"99",1958,3,148
"100",1958,4,173
"101",1958,5,446
"102",1958,6,147
"103",1958,7,350
"104",1958,8,117
"105",1958,9,151
"106",1958,10,37
"107",1958,11,74
"108",1958,12,64
"109",1959,1,124
"110",1959,2,131
"111",1959,3,285
"112",1959,4,135
"113",1959,5,333
"114",1959,6,44
"115",1959,7,83
"116",1959,8,25
"117",1959,9,182
"118",1959,10,246
"119",1959,11,40
"120",1959,12,26
"121",1960,1,77
"122",1960,2,166
"123",1960,3,89
"124",1960,4,256
"125",1960,5,227
"126",1960,6,63
"127",1960,7,131
"128",1960,8,6
"129",1960,9,38
"130",1960,10,246
"131",1960,11,49
"132",1960,12,150
"133",1961,1,7
"134",1961,2,66
"135",1961,3,251
"136",1961,4,106
"137",1961,5,412
"138",1961,6,111
"139",1961,7,160
"140",1961,8,121
"141",1961,9,467
"142",1961,10,77
"143",1961,11,93
"144",1961,12,30
"145",1962,1,133
"146",1962,2,105
"147",1962,3,52
"148",1962,4,110
"149",1962,5,84
"150",1962,6,152
"151",1962,7,54
"152",1962,8,46
"153",1962,9,19
"154",1962,10,5
"155",1962,11,68
"156",1962,12,17
"157",1963,1,71
"158",1963,2,21
"159",1963,3,142
"160",1963,4,3
"161",1963,5,68
"162",1963,6,359
"163",1963,7,55
"164",1963,8,252
"165",1963,9,125
"166",1963,10,31
"167",1963,11,45
"168",1963,12,51
"169",1964,1,26
"170",1964,2,104
"171",1964,3,138
"172",1964,4,125
"173",1964,5,253
"174",1964,6,82
"175",1964,7,72
"176",1964,8,27
"177",1964,9,41
"178",1964,10,18
"179",1964,11,88
"180",1964,12,40
"181",1965,1,100
"182",1965,2,127
"183",1965,3,120
"184",1965,4,105
"185",1965,5,182
"186",1965,6,414
"187",1965,7,641
"188",1965,8,106
"189",1965,9,258
"190",1965,10,45
"191",1965,11,36
"192",1965,12,53
"193",1966,1,30
"194",1966,2,128
"195",1966,3,32
"196",1966,4,146
"197",1966,5,34
"198",1966,6,141
"199",1966,7,104
"200",1966,8,206
"201",1966,9,115
"202",1966,10,96
"203",1966,11,32
"204",1966,12,17
"205",1967,1,84
"206",1967,2,39
"207",1967,3,79
"208",1967,4,395
"209",1967,5,477
"210",1967,6,469
"211",1967,7,325
"212",1967,8,83
"213",1967,9,60
"214",1967,10,113
"215",1967,11,101
"216",1967,12,106
"217",1968,1,51
"218",1968,2,74
"219",1968,3,85
"220",1968,4,239
"221",1968,5,71
"222",1968,6,50
"223",1968,7,134
"224",1968,8,253
"225",1968,9,59
"226",1968,10,75
"227",1968,11,71
"228",1968,12,51
"229",1969,1,17
"230",1969,2,43
"231",1969,3,110
"232",1969,4,133
"233",1969,5,612
"234",1969,6,299
"235",1969,7,181
"236",1969,8,79
"237",1969,9,167
"238",1969,10,417
"239",1969,11,62
"240",1969,12,32
"241",1970,1,10
"242",1970,2,1
"243",1970,3,134
"244",1970,4,97
"245",1970,5,64
"246",1970,6,383
"247",1970,7,167
"248",1970,8,54
"249",1970,9,247
"250",1970,10,88
"251",1970,11,119
"252",1970,12,9
"253",1971,1,35
"254",1971,2,78
"255",1971,3,53
"256",1971,4,198
"257",1971,5,134
"258",1971,6,23
"259",1971,7,120
"260",1971,8,85
"261",1971,9,285
"262",1971,10,44
"263",1971,11,16
"264",1971,12,25
"265",1972,1,36
"266",1972,2,44
"267",1972,3,50
"268",1972,4,352
"269",1972,5,49
"270",1972,6,294
"271",1972,7,63
"272",1972,8,271
"273",1972,9,207
"274",1972,10,82
"275",1972,11,169
"276",1972,12,70
"277",1973,1,131
"278",1973,2,16
"279",1973,3,176
"280",1973,4,373
"281",1973,5,506
"282",1973,6,20
"283",1973,7,247
"284",1973,8,128
"285",1973,9,285
"286",1973,10,47
"287",1973,11,83
"288",1973,12,284
"289",1974,1,103
"290",1974,2,82
"291",1974,3,132
"292",1974,4,228
"293",1974,5,6
"294",1974,6,201
"295",1974,7,234
"296",1974,8,16
"297",1974,9,98
"298",1974,10,168
"299",1974,11,106
"300",1974,12,29
"301",1975,1,23
"302",1975,2,37
"303",1975,3,119
"304",1975,4,114
"305",1975,5,280
"306",1975,6,211
"307",1975,7,278
"308",1975,8,200
"309",1975,9,24
"310",1975,10,30
"311",1975,11,188
"312",1975,12,47
"313",1976,1,19
"314",1976,2,54
"315",1976,3,134
"316",1976,4,127
"317",1976,5,134
"318",1976,6,63
"319",1976,7,231
"320",1976,8,250
"321",1976,9,188
"322",1976,10,93
"323",1976,11,32
"324",1976,12,16
"325",1977,1,16
"326",1977,2,27
"327",1977,3,124
"328",1977,4,213
"329",1977,5,34
"330",1977,6,102
"331",1977,7,298
"332",1977,8,100
"333",1977,9,10
"334",1977,10,48
"335",1977,11,59
"336",1977,12,3
"337",1978,1,27
"338",1978,2,27
"339",1978,3,107
"340",1978,4,182
"341",1978,5,346
"342",1978,6,117
"343",1978,7,54
"344",1978,8,26
"345",1978,9,7
"346",1978,10,145
"347",1978,11,50
"348",1978,12,82
"349",1979,1,34
"350",1979,2,42
"351",1979,3,125
"352",1979,4,141
"353",1979,5,353
"354",1979,6,239
"355",1979,7,81
"356",1979,8,585
"357",1979,9,36
"358",1979,10,128
"359",1979,11,166
"360",1979,12,106
"361",1980,1,64
"362",1980,2,45
"363",1980,3,115
"364",1980,4,254
"365",1980,5,273
"366",1980,6,9
"367",1980,7,293
"368",1980,8,165
"369",1980,9,63
"370",1980,10,10
"371",1980,11,66
"372",1980,12,10
"373",1981,1,29
"374",1981,2,35
"375",1981,3,227
"376",1981,4,101
"377",1981,5,376
"378",1981,6,63
"379",1981,7,90
"380",1981,8,116
"381",1981,9,35
"382",1981,10,79
"383",1981,11,42
"384",1981,12,66
"385",1982,1,32
"386",1982,2,9
"387",1982,3,18
"388",1982,4,34
"389",1982,5,348
"390",1982,6,226
"391",1982,7,92
"392",1982,8,116
"393",1982,9,138
"394",1982,10,151
"395",1982,11,47
"396",1982,12,234
"397",1983,1,15
"398",1983,2,7
"399",1983,3,456
"400",1983,4,210
"401",1983,5,362
"402",1983,6,265
"403",1983,7,175
"404",1983,8,151
"405",1983,9,13
"406",1983,10,39
"407",1983,11,263
"408",1983,12,63
"409",1984,1,18
"410",1984,2,81
"411",1984,3,119
"412",1984,4,242
"413",1984,5,65
"414",1984,6,126
"415",1984,7,211
"416",1984,8,320
"417",1984,9,47
"418",1984,10,347
"419",1984,11,27
"420",1984,12,46
"421",1985,1,68
"422",1985,2,59
"423",1985,3,69
"424",1985,4,261
"425",1985,5,133
"426",1985,6,146
"427",1985,7,371
"428",1985,8,28
"429",1985,9,233
"430",1985,10,77
"431",1985,11,120
"432",1985,12,66
"433",1986,1,22
"434",1986,2,65
"435",1986,3,43
"436",1986,4,259
"437",1986,5,130
"438",1986,6,107
"439",1986,7,169
"440",1986,8,53
"441",1986,9,43
"442",1986,10,180
"443",1986,11,107
"444",1986,12,31
"445",1987,1,69
"446",1987,2,121
"447",1987,3,134
"448",1987,4,103
"449",1987,5,464
"450",1987,6,350
"451",1987,7,76
"452",1987,8,200
"453",1987,9,70
"454",1987,10,124
"455",1987,11,162
"456",1987,12,130
"457",1988,1,40
"458",1988,2,60
"459",1988,3,128
"460",1988,4,65
"461",1988,5,426
"462",1988,6,128
"463",1988,7,219
"464",1988,8,183
"465",1988,9,90
"466",1988,10,6
"467",1988,11,47
"468",1988,12,104
"469",1989,1,114
"470",1989,2,66
"471",1989,3,56
"472",1989,4,100
"473",1989,5,383
"474",1989,6,204
"475",1989,7,164
"476",1989,8,128
"477",1989,9,155
"478",1989,10,81
"479",1989,11,15
"480",1989,12,81
"481",1990,1,74
"482",1990,2,55
"483",1990,3,310
"484",1990,4,101
"485",1990,5,151
"486",1990,6,21
"487",1990,7,357
"488",1990,8,196
"489",1990,9,146
"490",1990,10,103
"491",1990,11,128
"492",1990,12,27
"493",1991,1,76
"494",1991,2,8
"495",1991,3,76
"496",1991,4,194
"497",1991,5,243
"498",1991,6,220
"499",1991,7,411
"500",1991,8,369
"501",1991,9,79
"502",1991,10,70
"503",1991,11,267
"504",1991,12,19
"505",1992,1,119
"506",1992,2,9
"507",1992,3,350
"508",1992,4,53
"509",1992,5,113
"510",1992,6,202
"511",1992,7,223
"512",1992,8,233
"513",1992,9,1
"514",1992,10,51
"515",1992,11,146
"516",1992,12,68
